iter	Passed	Remaining
646	1444	788
647	1445	785
648	1447	782
649	1448	780
650	1449	777
651	1451	774
652	1452	772
653	1454	769
654	1456	767
655	1457	764
656	1459	761
657	1460	759
658	1461	756
659	1463	753
660	1464	751
661	1465	748
662	1467	745
663	1468	742
664	1470	740
665	1472	738
666	1475	736
667	1478	734
668	1479	732
669	1481	729
670	1483	727
671	1484	724
672	1485	721
673	1486	719
674	1488	716
675	1489	714
676	1492	712
677	1495	710
678	1496	707
679	1498	705
680	1499	702
681	1501	699
682	1502	697
683	1504	695
684	1506	692
685	1507	690
686	1509	687
687	1512	686
688	1514	683
689	1516	681
690	1517	678
691	1521	677
692	1523	674
693	1525	672
694	1527	670
695	1530	668
696	1533	666
697	1535	664
698	1539	663
699	1543	661
700	1546	659
701	1551	658
702	1557	657
703	1560	656
704	1562	653
705	1568	652
706	1571	651
707	1575	649
708	1577	647
709	1580	645
710	1582	643
711	1586	641
712	1588	639
713	1591	637
714	1594	635
715	1596	633
716	1598	630
717	1599	628
718	1601	625
719	1603	623
720	1605	621
721	1607	618
722	1609	616
723	1610	613
724	1611	611
725	1613	608
726	1614	606
727	1616	603
728	1617	601
729	1618	598
730	1620	596
731	1622	593
732	1624	591
733	1625	589
734	1627	586
735	1628	584
736	1630	581
737	1631	579
738	1633	576
739	1634	574
740	1636	571
741	1638	569
742	1639	567
743	1641	564
744	1642	562
745	1644	559
746	1645	557
747	1647	555
748	1648	552
749	1650	550
750	1651	547
751	1653	545
752	1654	542
753	1655	540
754	1657	537
755	1658	535
756	1660	533
757	1662	530
758	1663	528
759	1665	525
760	1666	523
761	1667	520
762	1669	518
763	1670	516
764	1672	513
765	1673	511
766	1674	508
767	1676	506
768	1678	504
769	1680	502
770	1682	499
771	1684	497
772	1686	495
773	1688	493
774	1690	490
775	1692	488
776	1694	486
777	1695	483
778	1697	481
779	1699	479
780	1700	476
781	1702	474
782	1703	472
783	1705	469
784	1706	467
785	1708	465
786	1709	462
787	1711	460
788	1712	458
789	1714	455
790	1716	453
791	1718	451
792	1720	449
793	1722	446
794	1723	444
795	1725	442
796	1726	439
797	1728	437
798	1729	435
799	1731	432
800	1732	430
801	1734	428
802	1736	426
803	1738	423
804	1739	421
805	1740	418
806	1742	416
807	1743	414
808	1744	411
809	1746	409
810	1747	407
811	1748	404
812	1750	402
813	1752	400
814	1754	398
815	1755	395
816	1757	393
817	1758	391
818	1760	389
819	1761	386
820	1763	384
821	1764	382
822	1765	379
823	1767	377
824	1768	375
825	1769	372
826	1772	370
827	1773	368
828	1775	366
829	1777	363
830	1778	361
831	1779	359
832	1781	357
833	1782	354
834	1783	352
835	1785	350
836	1786	347
837	1787	345
838	1788	343
839	1790	341
840	1792	338
841	1794	336
842	1796	334
843	1797	332
844	1798	329
845	1800	327
846	1801	325
847	1802	323
848	1803	320
849	1805	318
850	1806	316
851	1808	314
852	1810	312
853	1811	309
854	1813	307
855	1814	305
856	1816	303
857	1817	300
858	1819	298
859	1820	296
860	1822	294
861	1823	291
862	1824	289
863	1826	287
864	1827	285
865	1829	283
866	1830	280
867	1831	278
868	1833	276
869	1834	274
870	1835	271
871	1837	269
872	1838	267
873	1840	265
874	1841	263
875	1842	260
876	1844	258
877	1846	256
878	1847	254
879	1849	252
880	1850	250
881	1852	247
882	1853	245
883	1854	243
884	1856	241
885	1857	239
886	1859	236
887	1860	234
888	1861	232
889	1863	230
890	1865	228
891	1866	225
892	1867	223
893	1869	221
894	1870	219
895	1871	217
896	1873	215
897	1874	212
898	1875	210
899	1877	208
900	1878	206
901	1879	204
902	1881	202
903	1882	199
904	1884	197
905	1885	195
906	1887	193
907	1888	191
908	1890	189
909	1891	187
910	1893	184
911	1894	182
912	1895	180
913	1897	178
914	1898	176
915	1900	174
916	1901	172
917	1903	169
918	1904	167
919	1905	165
920	1907	163
921	1908	161
922	1909	159
923	1911	157
924	1912	155
925	1914	152
926	1915	150
927	1916	148
928	1918	146
929	1919	144
930	1921	142
931	1922	140
932	1924	138
933	1925	136
934	1927	133
935	1928	131
936	1930	129
937	1931	127
938	1933	125
939	1935	123
940	1937	121
941	1938	119
942	1941	117
943	1943	115
944	1944	113
945	1946	111
946	1947	108
947	1948	106
948	1950	104
949	1951	102
950	1952	100
951	1954	98
952	1956	96
953	1957	94
954	1959	92
955	1960	90
956	1962	88
957	1963	86
958	1965	84
959	1967	81
960	1968	79
961	1969	77
962	1971	75
963	1972	73
964	1974	71
965	1975	69
966	1977	67
967	1979	65
968	1980	63
969	1982	61
970	1983	59
971	1985	57
972	1986	55
973	1988	53
974	1989	51
975	1990	48
976	1992	46
